Gene,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
ENSMUSG00000041308,Sntb2,6.54520003356748,-0.0060265215554053,0.0232672042604028,-1.11892296574011,0.2631730044696975,,False
ENSMUSG00000041309,Nkx6-2,3.068852606762865,0.0004954649778879,0.022700181797172,0.1638111452422351,0.869879817570179,,False
ENSMUSG00000041313,Slc7a1,6.460044346463245,-0.0016081333207676,0.021751477475806,-0.3209287525588765,0.7482643841243652,,False
ENSMUSG00000041319,Thoc6,2.832786487264322,-0.0008059283170313,0.0227971223102948,-0.2873450929641079,0.7738480985536436,,False
ENSMUSG00000041323,Ak7,2.467210006448324,0.0005379603105511,0.0228876931871562,0.1466764845794754,0.8833873804161272,,False
ENSMUSG00000041324,Inhba,3.473004278528132,-0.0059271405982529,0.0244235900515829,-1.5184613615310452,0.1288981329257081,,False
ENSMUSG00000041328,Pcf11,7.512328566977531,0.0015094785292005,0.0214243455994844,0.4251369650049287,0.6707368323851448,,False
ENSMUSG00000041333,Mup4,0.0061687463554889,2.50046669429458e-05,0.0211809154497928,0.0116763222055125,0.9906838544741888,,False
ENSMUSG00000041341,Atg2b,8.442511168597704,-0.0018044791867499,0.0212016709571498,-0.3655919533833996,0.7146695803310998,,False
ENSMUSG00000041343,Ankrd42,3.877126546907375,-0.0005726430893345,0.0224299482366692,-0.1297453827262188,0.8967678757854924,,False
ENSMUSG00000041346,Wrap53,3.2200962929872228,0.0003543761129343,0.0226403380120816,0.1116938367604762,0.911066166303987,,False
ENSMUSG00000041347,Bdkrb1,0.4102662328847573,0.0015359193670371,0.0237094388384242,0.7918518125541386,0.4284470870898456,,False
ENSMUSG00000041353,Vcf2,3.758632527252607,0.0009371797507481,0.0225040810912341,0.4409341459012204,0.6592606728123849,,False
ENSMUSG00000041354,Rgl2,6.637058322870298,-0.012767242155071,0.0293449562936013,-1.998988813960631,0.0456095641865961,,False
ENSMUSG00000041355,Ssr2,6.472479853641517,-0.0018322671087756,0.0217693916095047,-0.3315406353295652,0.7402361523106944,,False
ENSMUSG00000041358,Nutm1,0.1984437686338787,0.0022176219756022,0.0242025203940282,1.063090340761655,0.2877409844181127,,False
ENSMUSG00000041359,Tcl1,0.0041381873339136,-2.169249080593069e-06,0.0462352437377013,-0.0005357484275497,0.9995725346216326,,False
ENSMUSG00000041360,Pum3,5.705907991531074,-0.0015707617999951,0.0219574571791846,-0.3389582094790932,0.7346412124408173,,False
ENSMUSG00000041361,Myzap,1.890646525055362,0.0009377365280375,0.0231530278395984,0.3175102179033581,0.750856487515178,,False
ENSMUSG00000041362,Shtn1,6.585877111362369,-3.050062431481896e-05,0.0215787398266798,0.5767760970736905,0.5640907187164992,,False
ENSMUSG00000041372,B4galnt3,1.639945330396784,0.0007666501327583,0.0232229112782991,0.2731292260541873,0.7847538813926556,,False
ENSMUSG00000041375,Ccdc9,6.688839993166198,-0.0047613097610597,0.0225867967560663,-0.8935614124732666,0.3715566000680449,,False
ENSMUSG00000041377,Ninj2,1.892707957312446,0.0006528695432465,0.023114741696894,0.2331348065165587,0.8156567277674758,,False
ENSMUSG00000041378,Cldn5,4.5225259018258495,-0.0095227589090245,0.0269472211160475,-2.0493967029362894,0.0404233393912679,,False
ENSMUSG00000041380,Htr2c,9.030882695746223,0.0190066540935925,0.0359998252219437,1.9159441019815548,0.0553722111019381,,False
ENSMUSG00000041390,Mdfic,3.013487912655704,4.962671175793841e-05,0.0226998080767639,0.0070036397754072,0.9944119496370304,,False
ENSMUSG00000041396,Mettl18,2.598763864157018,0.0013383773425042,0.0229458826051223,0.3729854594154795,0.7091592660620476,,False
ENSMUSG00000041399,1700013G24Rik,0.0020743265830786,1.986558075096293e-05,0.0226452915996549,0.003460769753762,0.9972387107569408,,False
ENSMUSG00000041406,Firrm,1.8988385017096032,-0.0017346603848374,0.0232549847834962,-0.5441276570513419,0.5863536296567715,,False
ENSMUSG00000041408,Wapl,8.807659922715985,0.0033690318416498,0.0214484905121759,0.6223240075535615,0.5337288380761136,,False
ENSMUSG00000041420,Meis3,4.883008299192671,-0.0028221241880822,0.0224833309526836,-0.6057226319352849,0.5446989528338988,,False
ENSMUSG00000041423,Paqr6,3.002727407677292,-0.0003705888515704,0.0227143014496581,0.0583064619408563,0.9535045203896012,,False
ENSMUSG00000041426,Hibch,3.839824532700512,0.0006105538113461,0.0224460597117538,0.1500161992782532,0.8807518347141502,,False
ENSMUSG00000041429,Nthl1,2.319427852473777,-0.0018210265805655,0.0231171212978217,-0.5617121195889148,0.5743121755848768,,False
ENSMUSG00000041431,Ccnb1,1.9050787276374748,0.0004532812960558,0.0231097059610406,0.1493037286388619,0.8813139732236397,,False
ENSMUSG00000041438,Utp4,5.572913216087788,-0.0026774960704147,0.0222195846096035,-0.4925125260926958,0.6223570690647888,,False
ENSMUSG00000041440,Gk5,2.957258885813428,0.0005652726327789,0.0227415216232508,0.1559318519262277,0.876086738185318,,False
ENSMUSG00000041445,Mmrn2,2.646555170847202,-0.0033788155524121,0.0234583185560254,-0.957904436253075,0.3381109492540799,,False
ENSMUSG00000041460,Cacna2d4,2.323292432049879,0.0015570861403179,0.0230900382968111,0.4205132663365212,0.6741105400571392,,False
