native,name,Wilcoxon_p,Wilcoxon_FDR,Wilcoxon_significant,gProfiler_p,gProfiler_significant,methods_included,methods_significant
GO:0001525,angiogenesis,,,,0.2219545629329929,False,1,0
GO:0001539,cilium or flagellum-dependent cell motility,,,,1.0,False,1,0
GO:0001541,ovarian follicle development,,,,1.0,False,1,0
GO:0001541,ovarian follicle development (GO:0001541),0.8433051514585344,0.9476095421772875,False,,,1,0
GO:0001555,oocyte growth,,,,1.0,False,1,0
GO:0001556,oocyte maturation,,,,1.0,False,1,0
GO:0001558,regulation of cell growth,,,,1.0,False,1,0
GO:0001558,regulation of cell growth (GO:0001558),0.0246939985979754,0.1885322680554627,False,,,1,0
GO:0001568,blood vessel development,,,,0.2955459531215157,False,1,0
GO:0001569,branching involved in blood vessel morphogenesis (GO:0001569),0.1594755185146484,0.4734843254768558,False,,,1,0
GO:0001570,vasculogenesis,,,,1.0,False,1,0
GO:0001570,vasculogenesis (GO:0001570),0.0614992227263396,0.2968284145584193,False,,,1,0
GO:0001573,ganglioside metabolic process (GO:0001573),0.9740327983869168,0.9935030022595036,False,,,1,0
GO:0001574,ganglioside biosynthetic process (GO:0001574),0.6107365885227163,0.8504895159687053,False,,,1,0
GO:0001578,microtubule bundle formation,,,,1.0,False,1,0
GO:0001578,microtubule bundle formation (GO:0001578),0.3387429926879333,0.6588985493668363,False,,,1,0
GO:0001580,detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580),0.4967191944590151,0.782740301031593,False,,,1,0
GO:0001649,osteoblast differentiation,,,,1.0,False,1,0
GO:0001654,eye development,,,,1.0,False,1,0
GO:0001654,eye development (GO:0001654),0.7405488911417739,0.910979636282009,False,,,1,0
GO:0001655,urogenital system development (GO:0001655),0.8733071032828331,0.9598025864360974,False,,,1,0
GO:0001656,metanephros development,,,,1.0,False,1,0
GO:0001656,metanephros development (GO:0001656),0.3928271535082067,0.7036206377761043,False,,,1,0
GO:0001657,ureteric bud development (GO:0001657),0.1066779327930252,0.3905689180346957,False,,,1,0
GO:0001658,branching involved in ureteric bud morphogenesis (GO:0001658),0.7849649617764718,0.9301702444984524,False,,,1,0
GO:0001659,temperature homeostasis,,,,1.0,False,1,0
GO:0001662,behavioral fear response,,,,1.0,False,1,0
GO:0001666,response to hypoxia,,,,1.0,False,1,0
GO:0001667,ameboidal-type cell migration,,,,0.3630521807618784,False,1,0
GO:0001667,ameboidal-type cell migration (GO:0001667),0.0064046863884519,0.1012207311308262,False,,,1,0
GO:0001676,long-chain fatty acid metabolic process (GO:0001676),0.9914601276912316,0.9975636343332898,False,,,1,0
GO:0001678,cellular glucose homeostasis (GO:0001678),0.7017629790565723,0.8942645663663249,False,,,1,0
GO:0001678,intracellular glucose homeostasis,,,,1.0,False,1,0
GO:0001682,tRNA 5'-leader removal (GO:0001682),0.9772497116276948,0.9947252130571368,False,,,1,0
GO:0001696,gastric acid secretion,,,,1.0,False,1,0
GO:0001701,in utero embryonic development,,,,1.0,False,1,0
GO:0001701,in utero embryonic development (GO:0001701),0.2334976972731505,0.5612055276276591,False,,,1,0
GO:0001704,formation of primary germ layer,,,,1.0,False,1,0
GO:0001706,endoderm formation,,,,1.0,False,1,0
GO:0001706,endoderm formation (GO:0001706),0.0083563971286367,0.1118141425305107,False,,,1,0
GO:0001707,mesoderm formation,,,,1.0,False,1,0
GO:0001707,mesoderm formation (GO:0001707),0.9981591653884768,0.9995687277764532,False,,,1,0
GO:0001708,cell fate specification,,,,1.0,False,1,0
GO:0001709,cell fate determination,,,,1.0,False,1,0
GO:0001711,endodermal cell fate commitment (GO:0001711),0.0762356692992137,0.3300934859040157,False,,,1,0
GO:0001738,morphogenesis of a polarized epithelium,,,,1.0,False,1,0
GO:0001738,morphogenesis of a polarized epithelium (GO:0001738),0.0619796675978446,0.2968284145584193,False,,,1,0
GO:0001754,eye photoreceptor cell differentiation,,,,1.0,False,1,0
GO:0001754,eye photoreceptor cell differentiation (GO:0001754),0.3447222050959287,0.6632935845761704,False,,,1,0
GO:0001755,neural crest cell migration,,,,1.0,False,1,0
GO:0001755,neural crest cell migration (GO:0001755),0.0324845569843566,0.217692446363365,False,,,1,0
GO:0001763,morphogenesis of a branching structure,,,,1.0,False,1,0
GO:0001764,neuron migration,,,,1.0,False,1,0
GO:0001764,neuron migration (GO:0001764),0.1822643423515703,0.4977248429893344,False,,,1,0
GO:0001767,establishment of lymphocyte polarity,,,,1.0,False,1,0
GO:0001768,establishment of T cell polarity,,,,1.0,False,1,0
GO:0001771,immunological synapse formation,,,,1.0,False,1,0
GO:0001773,myeloid dendritic cell activation,,,,1.0,False,1,0
GO:0001773,myeloid dendritic cell activation (GO:0001773),0.6513328672795131,0.8751348089235541,False,,,1,0
GO:0001774,microglial cell activation,,,,1.0,False,1,0
GO:0001774,microglial cell activation (GO:0001774),0.0055203133428678,0.0926484447322903,False,,,1,0
GO:0001775,cell activation,,,,1.0,False,1,0
GO:0001776,leukocyte homeostasis,,,,1.0,False,1,0
GO:0001778,plasma membrane repair,,,,1.0,False,1,0
GO:0001778,plasma membrane repair (GO:0001778),0.5062253005661547,0.7891954644666768,False,,,1,0
GO:0001779,natural killer cell differentiation,,,,1.0,False,1,0
GO:0001780,neutrophil homeostasis,,,,1.0,False,1,0
GO:0001783,B cell apoptotic process,,,,1.0,False,1,0
GO:0001816,cytokine production,,,,1.0,False,1,0
GO:0001817,regulation of cytokine production,,,,1.0,False,1,0
GO:0001817,regulation of cytokine production (GO:0001817),0.3790550356706201,0.6904306875313894,False,,,1,0
GO:0001818,negative regulation of cytokine production,,,,1.0,False,1,0
GO:0001818,negative regulation of cytokine production (GO:0001818),0.2501654005274919,0.5824056467204212,False,,,1,0
GO:0001819,positive regulation of cytokine production,,,,1.0,False,1,0
GO:0001819,positive regulation of cytokine production (GO:0001819),0.0160407628349098,0.1531496926138876,False,,,1,0
GO:0001822,kidney development,,,,1.0,False,1,0
GO:0001822,kidney development (GO:0001822),0.9932805865340484,0.9977707777975684,False,,,1,0
GO:0001823,mesonephros development,,,,1.0,False,1,0
GO:0001823,mesonephros development (GO:0001823),0.9004376211431624,0.9670367150424892,False,,,1,0
GO:0001836,release of cytochrome c from mitochondria,,,,1.0,False,1,0
GO:0001836,release of cytochrome c from mitochondria (GO:0001836),0.2430197842338558,0.5728862906146769,False,,,1,0
GO:0001837,epithelial to mesenchymal transition,,,,1.0,False,1,0
GO:0001837,epithelial to mesenchymal transition (GO:0001837),0.8082967205250282,0.9374838039884996,False,,,1,0
GO:0001838,embryonic epithelial tube formation,,,,1.0,False,1,0
GO:0001843,neural tube closure (GO:0001843),0.388577881514464,0.6995508709988624,False,,,1,0
GO:0001845,phagolysosome assembly (GO:0001845),0.6228332179501193,0.8571866457492027,False,,,1,0
GO:0001881,receptor recycling (GO:0001881),0.4784179890151959,0.7700254919277794,False,,,1,0
GO:0001885,endothelial cell development,,,,1.0,False,1,0
GO:0001885,endothelial cell development (GO:0001885),0.040409403278633,0.2401877701566846,False,,,1,0
GO:0001889,liver development,,,,1.0,False,1,0
GO:0001889,liver development (GO:0001889),0.0097967296928114,0.1187188361815775,False,,,1,0
GO:0001890,placenta development,,,,1.0,False,1,0
GO:0001890,placenta development (GO:0001890),0.1841608577660457,0.499658178473971,False,,,1,0
GO:0001892,embryonic placenta development,,,,1.0,False,1,0
GO:0001894,tissue homeostasis,,,,1.0,False,1,0
GO:0001895,retina homeostasis,,,,1.0,False,1,0
GO:0001895,retina homeostasis (GO:0001895),0.1277973557146873,0.4293493093231259,False,,,1,0
GO:0001906,cell killing,,,,1.0,False,1,0
GO:0001909,leukocyte mediated cytotoxicity,,,,1.0,False,1,0
GO:0001910,regulation of leukocyte mediated cytotoxicity,,,,1.0,False,1,0
GO:0001912,positive regulation of leukocyte mediated cytotoxicity,,,,1.0,False,1,0
GO:0001912,positive regulation of leukocyte mediated cytotoxicity (GO:0001912),0.060863494763116,0.2968284145584193,False,,,1,0
GO:0001913,T cell mediated cytotoxicity,,,,1.0,False,1,0
GO:0001914,regulation of T cell mediated cytotoxicity,,,,1.0,False,1,0
GO:0001914,regulation of T cell mediated cytotoxicity (GO:0001914),0.1575208798336463,0.4727411226183108,False,,,1,0
GO:0001916,positive regulation of T cell mediated cytotoxicity,,,,1.0,False,1,0
GO:0001916,positive regulation of T cell mediated cytotoxicity (GO:0001916),0.3842858024170995,0.6940995990614611,False,,,1,0
GO:0001919,regulation of receptor recycling (GO:0001919),0.1146400272634389,0.4041167503812489,False,,,1,0
GO:0001932,regulation of protein phosphorylation,,,,1.0,False,1,0
GO:0001932,regulation of protein phosphorylation (GO:0001932),0.1663500656309452,0.4835442708548797,False,,,1,0
GO:0001933,negative regulation of protein phosphorylation,,,,1.0,False,1,0
GO:0001933,negative regulation of protein phosphorylation (GO:0001933),3.3996806017490616e-05,0.0040296839132606,True,,,1,1
GO:0001934,positive regulation of protein phosphorylation,,,,1.0,False,1,0
GO:0001934,positive regulation of protein phosphorylation (GO:0001934),0.0309884264355419,0.2117380225434941,False,,,1,0
GO:0001935,endothelial cell proliferation,,,,1.0,False,1,0
GO:0001935,endothelial cell proliferation (GO:0001935),0.9385558210419211,0.9812409672579956,False,,,1,0
GO:0001936,regulation of endothelial cell proliferation,,,,1.0,False,1,0
GO:0001936,regulation of endothelial cell proliferation (GO:0001936),0.7821153660304894,0.9290834899322412,False,,,1,0
GO:0001937,negative regulation of endothelial cell proliferation,,,,1.0,False,1,0
GO:0001937,negative regulation of endothelial cell proliferation (GO:0001937),0.9599901889326188,0.9908625299218164,False,,,1,0
GO:0001938,positive regulation of endothelial cell proliferation,,,,1.0,False,1,0
GO:0001938,positive regulation of endothelial cell proliferation (GO:0001938),0.3213340483841087,0.6484389950696408,False,,,1,0
GO:0001941,postsynaptic membrane organization,,,,1.0,False,1,0
GO:0001941,postsynaptic membrane organization (GO:0001941),0.5563452398542392,0.8252202383626392,False,,,1,0
GO:0001942,hair follicle development,,,,1.0,False,1,0
GO:0001944,vasculature development,,,,0.1646041852641484,False,1,0
GO:0001944,vasculature development (GO:0001944),0.041909201801433,0.2443395250490806,False,,,1,0
GO:0001945,lymph vessel development,,,,1.0,False,1,0
GO:0001946,lymphangiogenesis,,,,1.0,False,1,0
GO:0001947,heart looping,,,,1.0,False,1,0
GO:0001947,heart looping (GO:0001947),0.3832561283044764,0.693835978650215,False,,,1,0
GO:0001952,regulation of cell-matrix adhesion,,,,1.0,False,1,0
GO:0001952,regulation of cell-matrix adhesion (GO:0001952),0.6278891478736575,0.8603986769814967,False,,,1,0
GO:0001953,negative regulation of cell-matrix adhesion,,,,1.0,False,1,0
GO:0001953,negative regulation of cell-matrix adhesion (GO:0001953),0.234497130306957,0.5629415286419546,False,,,1,0
GO:0001954,positive regulation of cell-matrix adhesion (GO:0001954),0.2937008558333894,0.6213091724350508,False,,,1,0
GO:0001956,positive regulation of neurotransmitter secretion,,,,1.0,False,1,0
GO:0001957,intramembranous ossification,,,,1.0,False,1,0
GO:0001959,regulation of cytokine-mediated signaling pathway (GO:0001959),0.1115414350494484,0.398731002981777,False,,,1,0
GO:0001960,negative regulation of cytokine-mediated signaling pathway (GO:0001960),0.0082560841535259,0.1116795493009026,False,,,1,0
GO:0001961,positive regulation of cytokine-mediated signaling pathway (GO:0001961),0.9036775958687464,0.9688574613736848,False,,,1,0
GO:0001967,suckling behavior,,,,1.0,False,1,0
GO:0001973,G protein-coupled adenosine receptor signaling pathway,,,,1.0,False,1,0
GO:0001990,regulation of systemic arterial blood pressure by hormone (GO:0001990),0.5816466697817733,0.8363100145876672,False,,,1,0
GO:0002002,regulation of angiotensin levels in blood (GO:0002002),0.3027238235921085,0.630800436527617,False,,,1,0
GO:0002003,angiotensin maturation (GO:0002003),0.3027238235921085,0.630800436527617,False,,,1,0
GO:0002009,morphogenesis of an epithelium,,,,1.0,False,1,0
GO:0002009,morphogenesis of an epithelium (GO:0002009),0.1531110470481054,0.4658463487506456,False,,,1,0
GO:0002011,morphogenesis of an epithelial sheet (GO:0002011),0.3742685798989865,0.6873803342179323,False,,,1,0
GO:0002021,response to dietary excess,,,,1.0,False,1,0
GO:0002023,reduction of food intake in response to dietary excess,,,,1.0,False,1,0
GO:0002026,regulation of the force of heart contraction,,,,1.0,False,1,0
GO:0002027,regulation of heart rate,,,,1.0,False,1,0
GO:0002028,regulation of sodium ion transport,,,,1.0,False,1,0
GO:0002028,regulation of sodium ion transport (GO:0002028),0.0539904988709567,0.2783031068715504,False,,,1,0
GO:0002029,desensitization of G protein-coupled receptor signaling pathway,,,,1.0,False,1,0
GO:0002029,desensitization of G protein-coupled receptor signaling pathway (GO:0002029),0.1822366630123882,0.4977248429893344,False,,,1,0
GO:0002031,G protein-coupled receptor internalization,,,,1.0,False,1,0
GO:0002040,sprouting angiogenesis,,,,1.0,False,1,0
GO:0002040,sprouting angiogenesis (GO:0002040),0.9718075735711958,0.9933601969966962,False,,,1,0
GO:0002042,cell migration involved in sprouting angiogenesis,,,,1.0,False,1,0
GO:0002042,cell migration involved in sprouting angiogenesis (GO:0002042),0.3320175685187884,0.6542554183042933,False,,,1,0
GO:0002043,blood vessel endothelial cell proliferation involved in sprouting angiogenesis,,,,1.0,False,1,0
GO:0002052,positive regulation of neuroblast proliferation (GO:0002052),0.0418410245888263,0.2443395250490806,False,,,1,0
GO:0002053,positive regulation of mesenchymal cell proliferation,,,,1.0,False,1,0
GO:0002053,positive regulation of mesenchymal cell proliferation (GO:0002053),0.4671639792360773,0.7636003501811702,False,,,1,0
GO:0002062,chondrocyte differentiation,,,,1.0,False,1,0
GO:0002062,chondrocyte differentiation (GO:0002062),0.93443653396758,0.9801763753703072,False,,,1,0
GO:0002064,epithelial cell development,,,,1.0,False,1,0
GO:0002064,epithelial cell development (GO:0002064),0.8136450455832516,0.938625117281823,False,,,1,0
GO:0002065,columnar/cuboidal epithelial cell differentiation,,,,1.0,False,1,0
GO:0002065,columnar/cuboidal epithelial cell differentiation (GO:0002065),0.5509844461677696,0.8214952847147603,False,,,1,0
GO:0002066,columnar/cuboidal epithelial cell development,,,,1.0,False,1,0
GO:0002067,glandular epithelial cell differentiation,,,,1.0,False,1,0
GO:0002068,glandular epithelial cell development,,,,1.0,False,1,0
GO:0002069,columnar/cuboidal epithelial cell maturation,,,,1.0,False,1,0
GO:0002070,epithelial cell maturation,,,,1.0,False,1,0
GO:0002071,glandular epithelial cell maturation,,,,1.0,False,1,0
GO:0002082,regulation of oxidative phosphorylation (GO:0002082),0.6996688059794791,0.8932100249826661,False,,,1,0
GO:0002087,regulation of respiratory gaseous exchange by nervous system process,,,,1.0,False,1,0
GO:0002088,lens development in camera-type eye,,,,1.0,False,1,0
GO:0002090,regulation of receptor internalization,,,,1.0,False,1,0
GO:0002090,regulation of receptor internalization (GO:0002090),0.5437904163455842,0.8178418117362415,False,,,1,0
GO:0002091,negative regulation of receptor internalization (GO:0002091),0.3601274500767957,0.6758957767306415,False,,,1,0
GO:0002092,positive regulation of receptor internalization,,,,1.0,False,1,0
GO:0002092,positive regulation of receptor internalization (GO:0002092),0.6041294547978207,0.8493191334500125,False,,,1,0
GO:0002097,tRNA wobble base modification (GO:0002097),0.9186453211920254,0.9747251428303044,False,,,1,0
GO:0002098,tRNA wobble uridine modification (GO:0002098),0.7118569771031069,0.8978399992214248,False,,,1,0
GO:0002115,store-operated calcium entry,,,,1.0,False,1,0
GO:0002128,tRNA nucleoside ribose methylation,,,,1.0,False,1,0
GO:0002130,wobble position ribose methylation,,,,1.0,False,1,0
